Device,Brand,Age_Months,Daily_Usage_Hours,Usage_Type,Failure_After_Months,Symptom1,Symptom2,Symptom3,Severity,Faulty_Component,Recommended_Solution,Estimated_Repair_Cost_INR,Estimated_Repair_Time_Hours
Laptop,Asus,57,7,Remote Worker,49,Loose Adapter,Intermittent Charging,Battery OK,Medium,Charger,Step 1: Inspect the charger cable and adapter for visible damage; Step 2: Check the wall socket with another device; Step 3: Clean the charging port of dust/debris; Step 4: Test with a different compatible charger/adapter; Step 5: Replace the charger if output voltage is incorrect or it overheats.,1300,1.1
Desktop,Acer,95,6,Gaming,90,CPU Throttling,Grinding Noise,System Lag,Medium,CPU Fan,Step 1: Power off and unplug the system; Step 2: Open the cabinet and clean dust from the CPU fan and heatsink; Step 3: Check fan rotation manually and listen for bearing noise; Step 4: Reapply thermal paste on the CPU if it has dried out; Step 5: Replace the CPU fan if it does not spin freely or is noisy after cleaning.,1050,1.8
Desktop,Asus,40,6,Gaming,38,Poor Airflow,Fan Noise,Heating,Low,Case Fan,Step 1: Power off and open the case to inspect the fan; Step 2: Clean dust from the fan blades and grille; Step 3: Check fan cable connection to the motherboard/PSU; Step 4: Lubricate or replace bearings if rattling continues; Step 5: Replace the fan if it does not spin after cleaning.,450,1.2
Desktop,Custom Build,38,11,Normal,30,Bad Sectors,File Corruption,Slow Startup,High,HDD,Step 1: Back up all data immediately when clicking/grinding noise is heard; Step 2: Check SMART status using CrystalDiskInfo; Step 3: Check and reseat the SATA power and data cables; Step 4: Run CHKDSK to scan for and attempt recovery of bad sectors; Step 5: Replace the HDD with an SSD if failure is confirmed.,2150,2.7
Desktop,Asus,75,9,Normal,74,Burning Smell,No Display,No Power,Medium,Motherboard,"Step 1: Disconnect all peripherals and power cables; Step 2: Inspect for bulging/burnt capacitors and burning smell; Step 3: Reset CMOS using the jumper or by removing the battery; Step 4: Reseat RAM and GPU to rule out connection issues; Step 5: If no POST persists, the motherboard likely needs professional repair or replacement.",8750,5.5
Desktop,HP,96,16,Gaming,94,Black Screen In Games,Fan Spinning Loud,Overheating,High,GPU,"Step 1: Update or reinstall the latest GPU drivers; Step 2: Check for overheating using monitoring software (e.g., HWMonitor); Step 3: Reseat the GPU in the PCIe slot and check power connectors; Step 4: Test the GPU in another system or test another GPU in this system; Step 5: Send for repair/replacement if artifacts persist after a clean driver install.",2950,2.1
Mobile,Samsung,34,4,Business,33,Camera Not Focusing,Dark Images,Lens Error,Medium,Camera Module,Step 1: Clean the camera lens of smudges or dust; Step 2: Force-close and reopen the camera app; Step 3: Check for pending software updates; Step 4: Restart the device to clear temporary camera service errors; Step 5: Replace the camera module if blur/focus issues continue after cleaning.,2100,2.3
Laptop,HP,25,4,Remote Worker,23,Fan Whining Noise,Hot Bottom Panel,Performance Drop,High,Cooling Fan,Step 1: Use compressed air to clean the fan vents and intake; Step 2: Open the back panel and clean dust from the fan and heatsink; Step 3: Check fan spin freely without obstruction; Step 4: Reapply thermal paste on CPU/GPU if overheating persists; Step 5: Replace the cooling fan if noise or shutdown continues after cleaning.,2000,1.3
Desktop,Lenovo,56,16,Normal,54,No Boot,Beep Sound,Power LED ON,Medium,RAM,"Step 1: Power off and reseat the RAM modules firmly in their slots; Step 2: Clean the RAM contacts gently with an eraser or contact cleaner; Step 3: Test each RAM stick individually in different slots to isolate the fault; Step 4: Run a memory diagnostic tool (e.g., Windows Memory Diagnostic / MemTest86); Step 5: Replace the faulty RAM module if errors persist.",1750,1.6
Mobile,Oppo,43,3,Developer,41,Loose Connection,Slow Charging,Intermittent Charging,Medium,Charging Port,"Step 1: Inspect the charging port for lint, dust, or debris and clean gently; Step 2: Check for bent or damaged pins inside the port; Step 3: Try a different cable to confirm port vs cable issue; Step 4: Wiggle test the cable while charging to detect loose connection; Step 5: Replace the charging port assembly if connection remains loose.",950,1.2
Laptop,Lenovo,7,9,Student,3,Webcam Freeze,App Crash,No Video Feed,Medium,Webcam,Step 1: Check camera privacy settings and app permissions; Step 2: Update or reinstall the webcam drivers; Step 3: Test the webcam in a different application; Step 4: Check the internal camera cable connection if accessible; Step 5: Replace the webcam module if not detected after driver reinstall.,1200,1.4
