Device,Age_Months,Daily_Usage_Hours,Failure_After_Months,Usage_Type,Symptom1,Symptom2,Symptom3,Faulty_Component
Laptop,22,9,16,Developer,Overheating,Fan Noise,Auto Shutdown,Cooling Fan
Desktop,16,14,16,Developer,High Temperature,Fan Error,Shutdown,CPU Fan
Laptop,77,2,74,Student,Charging Failure,Adapter Fault,Power Fluctuation,Charger
Desktop,83,3,81,Developer,Thermal Warning,Loud Noise,Heating,CPU Fan
Desktop,61,8,58,Gaming,Overheating,Fan Not Spinning,Auto Shutdown,CPU Fan
Mobile,10,10,6,Gaming,Distorted Audio,Low Volume,Calls OK,Speaker
Desktop,28,6,20,Student,Restart Issues,Power Failure,No Boot,PSU
Mobile,84,8,80,Office,No Sound,Calls OK,Headphones Work,Speaker
Laptop,63,7,63,Office,Lines On Screen,Display Lag,Power ON,Display
Laptop,46,3,38,Gaming,Overheating,Fan Noise,Auto Shutdown,Cooling Fan
Desktop,62,13,61,Normal,Long Loading Time,Disk Health Alert,Lagging,SSD
Desktop,58,5,57,Normal,Game Crashes,Visual Glitches,High GPU Temp,GPU
Mobile,27,4,26,Gaming,Distorted Audio,Low Volume,Calls OK,Speaker
Desktop,65,7,64,Normal,Overheating,Fan Not Spinning,Auto Shutdown,CPU Fan
Mobile,63,11,57,Normal,Not Charging,Cable OK,Battery OK,Charging IC
Desktop,37,15,37,Office,File Corruption,Boot Failure,Disk Warning,SSD
Mobile,75,9,67,Office,Cable Moves Loosely,Charging Stops,Slow Charging,Charging Port
Desktop,75,16,70,Student,POST Failure,Beep Sound,Power ON,RAM
Mobile,32,2,29,Developer,Recording Failure,Low Mic Volume,Calls Connected,Microphone
Desktop,43,3,35,Developer,Restart Issues,Power Failure,No Boot,PSU
Desktop,30,3,28,Student,POST Failure,Beep Sound,Power ON,RAM
Desktop,64,14,61,Office,USB Failure,Random Freeze,No POST,Motherboard
Desktop,66,16,59,Developer,Game Crashes,Visual Glitches,High GPU Temp,GPU
Laptop,57,9,53,Business,High Temperature,Fan Slow,Random Shutdown,Cooling Fan
Desktop,54,6,53,Business,System Off Suddenly,Burn Smell,Power Loss,PSU
Mobile,66,16,62,Gaming,Flickering Screen,Lines On Screen,Touch OK,Display
Desktop,63,3,58,Normal,Thermal Warning,Loud Noise,Heating,CPU Fan
Mobile,36,7,30,Office,Loose Connection,Slow Charging,Intermittent Charging,Charging Port
Mobile,75,4,72,Normal,Voice Breaks,Recorder Not Working,Calls Connected,Microphone
Mobile,39,8,38,Business,Crackling Sound,Media Playback Issue,Calls OK,Speaker
Mobile,47,12,47,Developer,No Sound,Calls OK,Headphones Work,Speaker
Desktop,23,14,15,Student,Peripheral Failure,Boot Error,Power ON,Motherboard
Mobile,40,13,37,Normal,Cable Moves Loosely,Charging Stops,Slow Charging,Charging Port
Laptop,24,2,19,Normal,Random Crashes,Blue Screen,Memory Warning,RAM
Laptop,72,12,65,Developer,Storage Not Detected,Boot Failure,BIOS Error,SSD
Mobile,62,1,55,Business,Fast Battery Drain,Heating,Random Shutdown,Battery
Laptop,47,7,46,Business,Overheating,Fan Noise,Auto Shutdown,Cooling Fan
Desktop,68,16,61,Office,Peripheral Failure,Boot Error,Power ON,Motherboard
Desktop,10,7,3,Business,Peripheral Failure,Boot Error,Power ON,Motherboard
Mobile,44,16,43,Gaming,Poor Backup,Battery Swelling,Heating,Battery
Mobile,44,8,42,Developer,Charging Failure,Heating,Random Restart,Charging IC
Desktop,14,8,9,Student,Slow Startup,Disk Errors,Storage Not Detected,SSD
Desktop,23,2,16,Business,Restart Issues,Power Failure,No Boot,PSU
