Device,Brand,Model,OS,Age_Months,Daily_Usage_Hours,Failure_After_Months,Usage_Type,Season,RAM_GB,Storage_GB,Battery_%_At_Failure,Warranty_Status,Previous_Repairs,Symptom1,Symptom2,Symptom3,Faulty_Component,Severity,Repair_Cost_INR,Repair_Time_Days,Solution
Laptop,Microsoft,Surface Laptop 5,Windows 11 Home,66,10,54,Business,Monsoon,16,512,95,Extended Warranty,0,Frequent BSOD,System Freeze,Memory Dump Error,RAM,High,2668,1,Run MemTest86. Replace faulty RAM. Ensure compatible RAM specs.
Mobile,Nothing,Phone 2,iOS 15,60,10,53,Business,Spring,12,256,66,Extended Warranty,4,Loose Connection,Intermittent Charging,Cable Moves Loosely,Charging Port,Medium,799,2,"Clean charging port with compressed air. If issue persists, replace port."
Laptop,Asus,TUF Gaming A15,Linux Mint,28,9,27,Healthcare,Autumn,32,256,84,Expired,3,Hinge Broken,Lid Not Closing,Hinge Cracking,Hinge,Medium,4156,5,Replace laptop hinge. Physical repair at service center.
Smartwatch,boAt,Cosmos X3,Wear OS 4,5,3,4,Office,Autumn,2,32,55,Expired,4,Not Charging,Loose Charger,Wireless Charging Failure,Charging Port,Medium,2505,1,Clean charging contacts. Try different charger. Replace charging module.
Smartwatch,Apple,Watch SE 2nd Gen 44mm,Wear OS 4,14,12,5,Education,Summer,2,16,23,Expired,0,Fast Battery Drain,Not Charging,Battery Percentage Dropping Fast,Battery,High,2148,4,Calibrate battery. Reduce AOD and GPS usage. Replace battery if capacity below 70%.
Smart TV,LG,OLED B3,Google TV,8,3,1,Student,Monsoon,3,8,0,Under Warranty,1,TV Not Starting,Standby Light Blinking,Shuts Down Randomly,Power Board,High,6656,5,Replace power supply board. Check capacitors for bulging.
Mobile,Samsung,Galaxy A14,iOS 15,66,4,48,Content Creator,Spring,12,64,5,Extended Warranty,2,WiFi Dropping,Slow WiFi,Cannot Connect,WiFi Module,Medium,3524,3,Forget network and reconnect. Update firmware. Replace WiFi module if issue persists.
Tablet,Asus,ZenPad 10,iPadOS 17,8,5,5,Normal,Summer,6,32,77,Extended Warranty,3,Loose Charging,Slow Charging,Not Charging,Charging Port,Medium,1062,2,Clean port with compressed air. Replace charging port.
Desktop,Dell,Precision Tower 5860,Ubuntu 22.04,62,7,60,Healthcare,Spring,16,4096,0,Under Warranty,0,Poor Airflow,High Case Temperature,Loud Case Noise,Cabinet Fan,Low,1402,1,Clean case fans. Add additional fans. Optimize cable management.
Laptop,Apple,MacBook Air 13 M3,Ubuntu 22.04,18,4,6,Education,Winter,32,256,9,Expired,1,Cracked Screen,Dead Pixels,No Display,Display,High,9405,2,Replace laptop display panel. Physical damage not covered under warranty.
Desktop,HP,Omen 45L,Fedora 38,48,12,46,Student,Summer,128,256,0,Expired,4,Thermal Warning,Loud Noise,CPU Overheating,CPU Fan,High,963,1,Clean CPU fan and heatsink. Replace thermal paste. Replace fan if noisy.
Router,Tenda,Nova MW6,DD-WRT,5,3,2,Office,Autumn,0,0,0,Under Warranty,1,Router Hanging,Settings Reset,Cannot Access Admin Panel,Firmware,Medium,374,1,Update to latest firmware. Factory reset if issues persist. Reconfigure settings.
Mobile,Apple,iPhone 14,Android 13,5,3,1,Content Creator,Spring,12,128,72,Under Warranty,2,Blurry Photos,Camera App Crash,Black Screen In Camera,Camera,Medium,4794,2,"Clear camera cache. If issue persists, replace camera module."
Smart TV,Vu,Cinema TV,WebOS 23,64,4,56,Business,Summer,4,8,0,Extended Warranty,3,No Display,Dead Pixels,Cracked Screen,Display Panel,Critical,23105,10,Replace display panel. Very expensive — check warranty. May be better to replace TV.
Laptop,Acer,ConceptD 7,macOS Sonoma,56,5,48,Office,Spring,16,1024,80,Extended Warranty,4,Slow Boot,Application Lag,Disk Health Alert,SSD,Medium,7369,3,Run SMART diagnostics. Defrag if HDD. Replace SSD if health below 70%.
Laptop,Acer,Swift X 14,Windows 11 Home,60,4,59,Education,Monsoon,16,1024,64,Under Warranty,2,Fan Always Running,Loud Fan Noise,High CPU Temperature,Cooling Fan,Medium,1169,1,Clean vents. Update BIOS. Replace thermal paste.
Mobile,Oppo,Reno 11 Pro,iOS 17,4,8,2,Content Creator,Monsoon,6,256,84,Extended Warranty,3,Blurry Photos,Camera App Crash,Black Screen In Camera,Camera,Medium,6680,2,"Clear camera cache. If issue persists, replace camera module."
Desktop,Apple,iMac 24 M3,Windows 11 Home,23,5,19,Normal,Spring,64,512,0,Under Warranty,0,PC Not Starting,Power Button Stuck,Intermittent Power,Power Button,Low,235,1,Check front panel connectors. Replace power button if faulty.
Tablet,Apple,iPad Pro 11 M4,iPadOS 16,4,2,2,Healthcare,Spring,4,256,13,Expired,0,Home Button Not Working,Touch ID Failure,Button Stuck,Home Button,Low,1559,2,Recalibrate Touch ID. Replace home button assembly.
Mobile,Apple,iPhone 15 Pro Max,iOS 15,42,1,33,Business,Autumn,4,64,25,Under Warranty,0,Blurry Photos,Camera App Crash,Black Screen In Camera,Camera,Medium,5477,2,"Clear camera cache. If issue persists, replace camera module."
Printer,Samsung,Xpress M2070W,macOS Sonoma,53,10,52,Content Creator,Summer,0,0,0,Extended Warranty,4,Smudged Print,Toner Not Sticking,Burning Smell From Printer,Fuser Unit,High,5389,5,Allow printer to cool. Replace fuser unit. Only for laser printers.
Laptop,Lenovo,V15 G4,Windows 11 Pro,67,13,56,Education,Monsoon,32,256,42,Extended Warranty,4,Slow Boot,Application Lag,Disk Health Alert,SSD,Medium,2110,2,Run SMART diagnostics. Defrag if HDD. Replace SSD if health below 70%.
Smartwatch,Apple,Watch Series 9 41mm,RTOS,17,11,7,Business,Autumn,1,4,90,Extended Warranty,2,Inaccurate Reading,Sensor Not Working,No HR Data,Heart Rate Sensor,Medium,1625,4,Clean optical sensor. Wear watch correctly. Replace sensor module if faulty.
Laptop,Dell,Inspiron 15 3530,macOS Sonoma,31,15,28,Gaming,Spring,32,1024,79,Under Warranty,0,Lines On Screen,Display Flickering,Backlight Failure,Display,High,7224,3,Check display cable connection. Replace display panel if faulty.
Mobile,OnePlus,9 Pro,iOS 17,2,5,1,Business,Winter,4,256,90,Extended Warranty,1,Low Volume,Distorted Audio,Crackling Sound,Speaker,Low,884,2,Clean speaker. Update audio drivers. Replace if faulty.
Mobile,Motorola,Razr 40 Ultra,Android 12,62,6,53,Healthcare,Winter,8,1024,93,Extended Warranty,1,Slow Charging,Charging Stops,Port Damaged,Charging Port,Medium,704,2,Replace charging port module.
Mobile,Motorola,Edge 40 Pro,Android 14,11,6,1,Education,Spring,16,256,29,Extended Warranty,0,Not Charging,Adapter OK,Battery Healthy,Charging IC,High,4354,2,Replace Charging IC chip — requires motherboard-level repair.
Smartwatch,Apple,Watch Series 9 41mm,RTOS,67,16,61,Developer,Monsoon,2,32,64,Under Warranty,2,Cracked Screen,Display Not On,Touch Not Working,Display,High,4040,6,Replace AMOLED display. Use manufacturer service to maintain water resistance.
Mobile,Vivo,V29 Pro,iOS 16,72,9,62,Student,Summer,16,128,74,Extended Warranty,3,No Power,Random Restart,Touch Not Working,Motherboard,Critical,9045,7,Motherboard-level repair needed. Visit authorized service center immediately.
Smartwatch,Fitbit,Luxe,Fitbit OS 6,70,9,62,Developer,Monsoon,2,32,7,Extended Warranty,1,No Sound From Watch,Call Audio Not Heard,Alarm Not Audible,Speaker,Low,1280,3,Check volume settings. Replace speaker unit.
Tablet,Xiaomi,Redmi Pad Pro,Android 14,58,14,57,Education,Winter,8,32,74,Under Warranty,4,Not Powering On,Loop Restart,Touch Completely Dead,Motherboard,Critical,14743,13,Motherboard replacement required. Visit authorized service center.
Tablet,Apple,iPad Pro 13 M4,iPadOS 17,21,14,7,Healthcare,Summer,3,1024,81,Under Warranty,3,Not Powering On,Loop Restart,Touch Completely Dead,Motherboard,Critical,7648,12,Motherboard replacement required. Visit authorized service center.
Desktop,Dell,OptiPlex 3000,Windows 11 Pro,75,8,69,Healthcare,Winter,8,1024,0,Extended Warranty,2,Driver Crashes,Black Screen,Monitor No Signal,GPU,Medium,1453,5,Reinstall GPU drivers. Check PCIe slot. Test with different monitor cable.
Mobile,OnePlus,9 Pro,Android 13,6,11,2,Developer,Summer,6,256,7,Expired,0,Loose Connection,Intermittent Charging,Cable Moves Loosely,Charging Port,Medium,1909,1,"Clean charging port with compressed air. If issue persists, replace port."
Desktop,MSI,Trident AS,Linux Mint 21,53,4,50,Content Creator,Summer,16,256,0,Expired,3,Long Boot Time,Disk Health Alert,Storage Not Detected,SSD,High,5053,4,Run CrystalDiskInfo. Replace SSD if health critical. Backup data immediately.
Mobile,Samsung,Galaxy S24,Android 14,72,15,64,Healthcare,Summer,8,512,49,Expired,3,No Sound,Calls OK,Headphones Work,Speaker,Medium,1448,1,"Clean speaker grille. If no improvement, replace speaker unit."
Mobile,Vivo,T2 Pro,Android 12,19,14,16,Healthcare,Spring,8,1024,15,Under Warranty,1,No Network,SIM Not Detected,Network Dropping,SIM Card Slot,Medium,1326,1,Clean SIM slot. Try different SIM. Replace SIM tray if bent.
Tablet,Asus,Vivobook Slate T3304,Android 14,73,15,67,Office,Autumn,4,256,62,Expired,4,Cracked Screen,Touch Not Working,Display Flickering,Display,High,9363,3,Replace display and digitizer assembly.
Laptop,Samsung,Galaxy Book 4,macOS Sonoma,13,1,7,Content Creator,Monsoon,8,256,80,Extended Warranty,2,Storage Not Detected,Boot Failure,BIOS Error,SSD,High,7032,3,Check SATA/NVMe connection. Replace SSD. Reinstall OS.
Router,D-Link,COVR-X1862,AsusWRT,28,7,21,Developer,Winter,0,0,0,Under Warranty,2,USB Storage Not Detected,Printer Sharing Fails,NAS Not Working,USB Port,Low,689,3,Reformat USB drive to FAT32/NTFS. Update router firmware. Replace USB port.
Mobile,Google,Pixel 7 Pro,Android 13,33,11,28,Gaming,Autumn,12,64,27,Extended Warranty,4,Cracked Screen,Touch Not Working,Display Broken,Display,High,12786,2,Replace display + digitizer assembly.
Smartwatch,Samsung,Galaxy Watch FE,WatchOS 10,72,12,57,Student,Monsoon,2,4,38,Extended Warranty,3,No Haptic Feedback,Weak Vibration,Notification Not Felt,Vibration Motor,Low,879,2,Check haptic settings. Replace vibration motor module.
Mobile,Samsung,Galaxy F54,iOS 16,10,12,4,Office,Monsoon,4,128,53,Extended Warranty,2,No Power,Random Restart,Touch Not Working,Motherboard,Critical,14983,6,Motherboard-level repair needed. Visit authorized service center immediately.
Mobile,Xiaomi,POCO X5 Pro,iOS 15,83,2,71,Healthcare,Monsoon,8,512,30,Under Warranty,2,Slow Charging,Gets Hot While Charging,Charger Gets Hot,Charging IC,High,2140,3,"Try original charger. If issue persists, replace Charging IC."
Laptop,HP,Omen 16,Windows 11 Home,23,13,14,Gaming,Autumn,8,2048,59,Expired,4,Charging Failure,Adapter Fault,Power Fluctuation,Charger,Medium,2706,1,Try different power outlet. Replace charger/adapter. Check charging port.
Laptop,MSI,Titan GT77 HX,macOS Sonoma,79,2,75,Gaming,Summer,32,512,10,Under Warranty,1,Frequent BSOD,System Freeze,Memory Dump Error,RAM,High,1155,1,Run MemTest86. Replace faulty RAM. Ensure compatible RAM specs.
Router,Netgear,Orbi RBK752,RouterOS,49,11,46,Education,Spring,0,0,0,Under Warranty,1,Weak WiFi Signal,Dead Zones,Slow Speed,WiFi Antenna,High,3333,1,Reposition router to central location. Upgrade to WiFi extender or mesh system.
Smart TV,Hisense,U8K Mini LED,Fire TV,44,10,27,Gaming,Autumn,4,32,0,Expired,4,No Display,Dead Pixels,Cracked Screen,Display Panel,Critical,19629,6,Replace display panel. Very expensive — check warranty. May be better to replace TV.
Mobile,Xiaomi,POCO F5 Pro,iOS 16,21,7,18,Student,Summer,8,256,82,Expired,1,Cracked Screen,Touch Not Working,Display Broken,Display,High,8412,2,Replace display + digitizer assembly.
Mobile,Samsung,Galaxy A14,Android 13,83,14,81,Developer,Spring,8,64,48,Under Warranty,1,Slow Charging,Charging Stops,Port Damaged,Charging Port,Medium,969,2,Replace charging port module.
Smart TV,TCL,S546,WebOS 23,63,11,59,Content Creator,Summer,3,32,0,Expired,4,TV Not Turning On,Stuck On Logo,HDMI Not Working,Main Board,Critical,12918,8,Replace main/motherboard. Visit service center.
Smartwatch,Amazfit,GTR 4,Wear OS 3,69,1,67,Student,Summer,1,8,34,Extended Warranty,2,No Haptic Feedback,Weak Vibration,Notification Not Felt,Vibration Motor,Low,905,2,Check haptic settings. Replace vibration motor module.
Laptop,Asus,VivoBook 15,Ubuntu 22.04,12,11,8,Normal,Autumn,32,1024,68,Extended Warranty,4,Display Artifacts,Screen Flickering,Game Crashes,GPU,High,11051,7,Update GPU drivers. Clean GPU. Replace dedicated GPU if discrete card faulty.
Mobile,OnePlus,Nord 3,Android 14,37,6,21,Gaming,Spring,6,1024,15,Expired,2,Slow Charging,Charging Stops,Port Damaged,Charging Port,Medium,859,1,Replace charging port module.
Laptop,MSI,Cyborg 15,Linux Mint,62,6,46,Business,Spring,32,2048,26,Under Warranty,4,Fan Always Running,Loud Fan Noise,High CPU Temperature,Cooling Fan,Medium,1891,2,Clean vents. Update BIOS. Replace thermal paste.
Mobile,Samsung,Galaxy A14,Android 14,32,2,15,Normal,Winter,16,512,27,Extended Warranty,2,WiFi Dropping,Slow WiFi,Cannot Connect,WiFi Module,Medium,1690,3,Forget network and reconnect. Update firmware. Replace WiFi module if issue persists.
Desktop,Dell,OptiPlex 3000,Linux Mint 21,83,12,68,Gaming,Summer,128,512,0,Under Warranty,3,PC Not Starting,Power Button Stuck,Intermittent Power,Power Button,Low,380,1,Check front panel connectors. Replace power button if faulty.
Mobile,Samsung,Galaxy S23,iOS 16,20,4,13,Developer,Spring,6,128,82,Under Warranty,1,No Network,SIM Not Detected,Network Dropping,SIM Card Slot,Medium,353,2,Clean SIM slot. Try different SIM. Replace SIM tray if bent.
Laptop,Acer,Aspire 5,macOS Sonoma,51,6,47,Gaming,Summer,16,1024,17,Expired,2,Slow Boot,Application Lag,Disk Health Alert,SSD,Medium,4003,2,Run SMART diagnostics. Defrag if HDD. Replace SSD if health below 70%.
Laptop,Apple,MacBook Air 15 M3,Windows 10,24,1,14,Business,Autumn,32,512,18,Extended Warranty,2,Frequent BSOD,System Freeze,Memory Dump Error,RAM,High,4701,1,Run MemTest86. Replace faulty RAM. Ensure compatible RAM specs.
